Code,Name ,Casulties,Population 
E12000006,East of England,3246,6269161
E12000004,East Midlands,2344,4865583
E12000009,South West,3262,5659143
E12000005,West Midlands,3017,5961929
E12000008,South East,4660,9217265
E12000007,London,3703,9002488
E12000002,North West,4003,7367456
E12000003,Yorkshire and The Humber,3262,5526350
E12000001,North East,1598,2680763
